name	category	category_code	lat	lon	address
Centro Apurva Yoga	Yoga Studio	18028	20.701694	-103.327847	Calzada Independencia 1773, Guadalajara, Jalisco
Etre Le Danse	Dance Studio	18025	20.695301	-103.330624	Guadalajara, Jalisco
Boxercise	Gym and Studio	18021	20.69592	-103.333025	Jalisco
Fitness Club Anytime/Gonzalez	Gym and Studio	18021	20.69805	-103.328276	Montes Apeninos, Guadalajara, Jalisco
Liliana Sendel Jazz Style	Dance Studio	18025	20.699445	-103.329044	Guadalajara, Jalisco
Star Ballet Art Center	Dance Studio	18025	20.695158	-103.328047	Sierra Nevada 1580, Guadalajara, Jalisco
Bitania Studio	Yoga Studio	18028	20.695593	-103.326515	Avenida Circunvalación Doctor Atl. 321 (Monte Alban), Guadalajara, Jalisco
Nibana Studio	Yoga Studio	18028	20.695202	-103.326479	44340 Guadalajara, Jalisco
Epicenter GYM	Gym and Studio	18021	20.699155	-103.326805	Sierra Nevada (Puerto Altata), 44340 Guadalajara, Jalisco
Academia de Baile Zujash	Gym and Studio	18021	20.700932	-103.328377	Puerto Ensenada (Sierra Nevada), Guadalajara, Jalisco
Cali, Centro de Formación Artística	Dance Studio	18025	20.701006	-103.32767	Calzada Independencia 1746, 44320 Guadalajara, Jalisco
Feminis Gym	Gym and Studio	18021	20.702163	-103.331818	Guadalajara, Jalisco
Fitness 18 Veintiuno	Gym and Studio	18021	20.702137	-103.32749	Calzada Independencia Norte 1821 (Monte libano), 44290 Guadalajara, Jalisco
Tecno Fitness	Gym and Studio	18021	20.697114	-103.324158	Guadalajara, Jalisco
Akasha Kei Studio | Academia de Danza Árabe & Tribal en Guadalajara.	Dance Studio	18025	20.694886	-103.325611	Sierra Mojada 1448, 44320 Guadalajara, Jalisco
LIEBE Danza Integral	Dance Studio	18025	20.700898	-103.325853	Puerto Ensenada 96, 44320, 44320 Guadalajara, Jalisco
Clubes Unidos de Jalisco A.C.	Gym and Studio	18021	20.704742	-103.327413	Calle Siete Colinas 1772, 44290 Guadalajara, Jalisco
Leilani's 24/7 Fitness LOL	Gym and Studio	18021	20.718536	-103.333617	Guadalajara, Jalisco
Trx Osiris	Gym and Studio	18021	20.620484	-103.320741	Tlaquepaque, Jalisco
Gym Army	Gym and Studio	18021	20.626436	-103.315612	Tlaquepaque, Jalisco
Jet Dance	Education	12009	20.63082	-103.319902	Tlaquepaque, Jalisco
Nutribalans	Gym and Studio	18021	20.630718	-103.319523	Avenida Niños Héroes, Tlaquepaque, Jalisco
EasyFit by Vivo47 Tlaquepaque.	Gym and Studio	18021	20.632141	-103.318086	Tlaquepaque, Jalisco
Kingdom Black Lions	Gym and Studio	18021	20.635621	-103.316961	Niños Héroes 205A (Porvenir Y Santos Degollado), Tlaquepaque, Jalisco
FitDance Dance & Fitnes Center	Gym and Studio	18021	20.638221	-103.31832	Juárez 375, Tlaquepaque, Jalisco
BalleTlaquepaque	Dance Studio	18025	20.638537	-103.3179	Tlaquepaque, Jalisco
Blue Swim	Gym and Studio	18021	20.638144	-103.317364	Tlaquepaque, Jalisco
Smart Fit Forum	Gym and Studio	18021	20.648322	-103.319706	Guadalajara, Jalisco
American's Gym	Gym and Studio	18021	20.642661	-103.3182	Boulevard Marcelino García Barragán 2492 (esq. Río Mezquital), Tlaquepaque, Jalisco
Americans Cycling	Cycle Studio	18024	20.64232	-103.318287	44670 Guadalajara, Jalisco
Centro Recreativo las Tortugas	Arts and Entertainment	10000	20.645917	-103.32325	Kilómetro 1, Guadalajara, Jalisco
Pista de atletismo UDG	Hiking Trail	16019	20.655614	-103.323577	Calzada Olímpica (Av. Revolución), Guadalajara, Jalisco
Black Haka Crossfit	Gym and Studio	18021	20.65062	-103.314878	Justo Corro 2126 (Rafael Delgado), 44840 Guadalajara, Jalisco
AC Fitness & Wellness	Gym and Studio	18021	20.657188	-103.318885	Irineo Paz (Av.  Revolución), Guadalajara, Jalisco
Foro de Halterofilia	Gym and Studio	18021	20.649649	-103.322618	Guadalajara, Jalisco
Spinning New Life	Gym and Studio	18021	20.650821	-103.319003	La 30, Guadalajara, Jalisco
Acero Gym	Gym and Studio	18021	20.658203	-103.320986	Guadalajara, Jalisco
Acero Gym	Gym and Studio	18021	20.658033	-103.321213	Avenida Revolución 1629, 44410 Guadalajara, Jalisco
Tamma Fitness & Nutrition	Gym and Studio	18021	20.655895	-103.31836	Guadalajara, Jalisco
Gimnasio de Box	Gym and Studio	18021	20.657642	-103.324712	Guadalajara, Jalisco
Athletic Center Gym	Gym and Studio	18021	20.656581	-103.318751	Irineo Paz 469, 44410 Guadalajara, Jalisco
Alberca Olimpica de la Universidad de Guadalajara	Education	12009	20.655262	-103.322705	Calzada Olímpica No., 740, Guadalajara, Jalisco
Gimnasio de Usos Múltiples - Tecnológico	Gym and Studio	18021	20.658394	-103.323299	Avenida Revolución 1500, Guadalajara, Jalisco
Jr. Fitt	Gym and Studio	18021	20.660727	-103.320055	Avenida Revolución 1679, Guadalajara, Jalisco
24Fitclub	Gym and Studio	18021	20.658751	-103.320889	Olímpica 593, Guadalajara, Jalisco
Gimnasio de Box UdeG	Gym and Studio	18021	20.65806	-103.323915	Guadalajara, Jalisco
Versus GYM	Gym and Studio	18021	20.659733	-103.317568	Aldama, Guadalajara, Jalisco
Areba	Real Estate Service	11145	20.660715	-103.315358	06700 , Ciudad de México
By Mony Dance	Dance Studio	18025	20.670583	-103.323512	Avenida Francisco Javier Mina 1003 (Pedro Celestino Negrete), Guadalajara, Jalisco
Ponce de Santiago Carlos	Dance Studio	18025	20.668594	-103.319105	Crt El Castillo 70, Guadalajara, Jalisco
Gym City	Gym and Studio	18021	20.667287	-103.318134	Jalisco
Squalo Fitness Body Bulding	Gym and Studio	18021	20.673304	-103.319281	Ramón Blancarte 277, Guadalajara, Jalisco
EKOUS Gym	Gym and Studio	18021	20.673274	-103.324856	Guadalajara, Jalisco
JUMP dance.studio	Dance Studio	18025	20.671188	-103.315735	Dionisio Rodriguez 1269 (Castellanos Y Tapia), 44380 Guadalajara, Jalisco
Factor Fitness 2.0	Gym and Studio	18021	20.667425	-103.31547	Juan de Dios Robledo 70 (Javier Mina y Álvaro Obregon), 44730 Guadalajara, Jalisco
Gimnasio 58	Gym and Studio	18021	20.667775	-103.314716	Jalisco
Emotion Life Fitness Center	Gym and Studio	18021	20.676981	-103.321799	República, Guadalajara, Jalisco
Centro Cultural Gandhi GFU	Yoga Studio	18028	20.679292	-103.322635	Industria 1043 (Industria), 45134 Guadalajara, Jalisco
Gimnasio My Body en Forma	Gym and Studio	18021	20.678351	-103.31761	entre esteban alatorre y federacion 528A, 44370 Guadalajara, Jalisco
Gimnasio Galaxia	Gym and Studio	18021	20.690309	-103.320691	Puerto Melaque 723, 44350 Guadalajara, Jalisco
Station 24 Fitness	Gym and Studio	18021	20.69409	-103.322765	44330 Guadalajara, Jalisco
Tecnofitness	Gym and Studio	18021	20.69696	-103.321451	Belisario Dominguez (Puerto Altata), Guadalajara, Jalisco
Live, Force & Training	Gym and Studio	18021	20.694409	-103.32365	Guadalajara, Jalisco
Tsubasa Fitness	Yoga Studio	18028	20.698337	-103.32073	
Academia de danza Chiquina Palafox	Education	12009	20.698782	-103.319728	Chimborazo 531, Guadalajara, Jalisco
Dance in the City	Dance Studio	18025	20.694737	-103.323812	Puerto Soto La Marina 1615 (Circunvalacion), Guadalajara, Jalisco
Diva's Spinning	Cycle Studio	18024	20.701303	-103.318036	Guadalajara, Jalisco
Red Force Academia de Danza	Dance Studio	18025	20.702157	-103.319895	valladolid 2648A, Jalisco
Danza en Movimiento	Gym and Studio	18021	20.7026	-103.322702	Ococcingo, 44320 Guadalajara, Jalisco
Everlast Fitness Equipment	Gym and Studio	18021	20.697527	-103.314332	Clle Monte La Luna 873, 44330 Guadalajara, Jalisco
Station 24 Fitness	Gym and Studio	18021	20.712037	-103.322406	Av Calzada Independencia, 44650 Guadalajara, Jalisco
Life Gym Estadio	Gym and Studio	18021	20.704596	-103.316637	Mesa del Norte 468, 44320, 44320 Guadalajara, Jalisco
Pole Dancer's Studio	Gym and Studio	18021	20.707546	-103.322337	Mesa del Norte 109, 44320 Guadalajara, Jalisco
Gimnasio la Perdida	Gym and Studio	18021	20.707075	-103.3183	Montes Urales y Fraternidad, 44300 Guadalajara, Jalisco
Sector 53 Fitness Center	Gym and Studio	18021	20.708057	-103.323494	Guadalajara, Jalisco
Black Hammer	Gym and Studio	18021	20.706022	-103.31742	Monte Parnaso, 44320 Guadalajara, Jalisco
Reckless Box Crossfit	Gym and Studio	18021	20.709638	-103.323489	Calzada Independencia Norte 2981, 44240 Guadalajara, Jalisco
D' Kings	Dance Studio	18025	20.703263	-103.316739	
Pro Fit	Gym and Studio	18021	20.710608	-103.322929	Guadalajara, Jalisco
Pro Fit	Gym and Studio	18021	20.710718	-103.322904	
Gaby + Chavos Gym	Gym and Studio	18021	20.724452	-103.319463	Rafael Cardenas, 44250 Guadalajara, Jalisco
Big Muscle Gym	Gym and Studio	18021	20.731039	-103.316163	Volcan Malinche, 44250 Guadalajara, Jalisco
Exerceo Gym Tlaquepaque	Education	12009	20.639359	-103.308361	Hidalgo 61, 45500 Tlaquepaque, Jalisco
Excerceo Fitness Center	Gym and Studio	18021	20.639439	-103.308483	Hidalgo 61, 45600 Tlaquepaque, Jalisco
Asgard fitness center	Gym and Studio	18021	20.646332	-103.31006	Avenida Rio Nilo, Tlaquepaque, Jalisco
Gym Ssport	Gym and Studio	18021	20.638808	-103.309323	Tlaquepaque, Jalisco
Gaya kenpo	Yoga Studio	18028	20.641688	-103.312792	Donato Guerra 155 (Prisciliano Sánchez), Tlaquepaque, Jalisco
Hips Pole & Fitness	Gym and Studio	18021	20.639337	-103.309788	Tlaquepaque, Jalisco
GymHouse	Gym and Studio	18021	20.638746	-103.314513	Tlaquepaque, Jalisco
Alexian dance	Gym and Studio	18021	20.646218	-103.3091	Avenida San Rafael, Guadalajara, Jalisco
Centro de Movimiento Corporal	Cultural Center	12005	20.638634	-103.308051	Zaragoza 85 (5 de Mayo e Ignacio Allende), Tlaquepaque, Jalisco
Tamayo Avila Alejandro	Dance Studio	18025	20.648226	-103.313044	Avenida Rio Nilo 8018, Guadalajara, Jalisco
Monster Cross	Gym and Studio	18021	20.651067	-103.305894	Avenida Chamizal 714, 44810 Guadalajara, Jalisco
Emotion Life Fitness Center	Gym and Studio	18021	20.650196	-103.314385	Justo Corro 2152, Guadalajara, Jalisco
Emotion Life Fitness Center	Gym and Studio	18021	20.65019	-103.314338	Justo Corro 2152 (Luis G. Cuevas), 44840 Guadalajara, Jalisco
Nutrition People	Gym and Studio	18021	20.650038	-103.31377	Justo Corro 2186 (Francisco Marquez), 44840 Guadalajara, Jalisco
Effort57 Gym	Gym and Studio	18021	20.64957	-103.30626	Avenida Chamizal 812 (Av. Revolución), 44810 Guadalajara, Jalisco
Paty Geyer Dance Center	Education	12009	20.649996	-103.306066	Guadalajara, Jalisco
Eneri Dance	Gym and Studio	18021	20.652981	-103.305314	Jalisco
Studio 74	Photographer	11138	20.663143	-103.308702	Guadalajara, Jalisco
Forza Gym	Gym and Studio	18021	20.659815	-103.314217	Guadalajara, Jalisco
