	google_id	name	query	lat	lon	address	types
478	ChIJaTCoBAClKIQRJpHSLNDh7aY	Colegio Silviano Carrillo Preescolar	preescolar	20.7586717	-103.3628591	Cedros 2566, Vistas del Centinela, 45187 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
479	ChIJU8VgCP2vKIQR7NslbB6uvpU	PAULO FREIRE	preescolar	20.7492108	-103.3608816	Esquina Jazmin, C. Loma Alta, Lomas de Tabachines, 45130 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
480	ChIJHWss6nmyKIQRd3PySMFDMoA	Jardín de Niños Ramón García Ruíz	preescolar	20.629027	-103.3542329	Mina Amparo 222, Zona Industrial Sur, 44490 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
481	ChIJfYUIlo-yKIQR2q3hLKx9FGw	JARDÍN DE NIÑOS GESSEL	preescolar	20.6093448	-103.3458023	Av. Arquitectura 426, Miravalle, 44990 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
482	ChIJB2uH_YWyKIQRN65GDpPH_TE	Frida Kahlo	preescolar	20.6131644	-103.3477162	Av De La Pintura 384, Miravalle, 44970 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
483	ChIJcz8J6oCtKIQR-QFSBj6BA1E	Jardin De Niños Simone De Beauvoir	preescolar	20.6223503	-103.3606398	Ignacio Covarrubias R. 3114-3126, Echeverría, 44970 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
484	ChIJDStPJoetKIQRV-Gfx7Zf428	JARDÍN DE NIÑOS ARNOLD GESELL	preescolar	20.6245694	-103.3613733	Erasmo Del Castillo 3037, Echeverría, 44970 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
485	ChIJ3e8pqnmyKIQRBf1UkC_m1mI	Jardin De Niños Jose Maria Robles Hurtado	preescolar	20.6276138	-103.355592	Diego Rivera 3215, 5 de Mayo, 44970 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
486	ChIJQfSHaw2yKIQROXsxNo_UWM0	"JARDIN DE NIÑOS ""HEROE DE NACOZARI"""	preescolar	20.6440023	-103.3487085	Entre Calle 8 y Calle 10, C. 9 267, Ferrocarril, 44440 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
487	ChIJbyxzvdWzKIQRN3LIZQf0jkM	Jardin De Niños Micropraxis	preescolar	20.6502342	-103.3562319	C. Mojonera 1494, Morelos, 44910 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
488	ChIJySg70SKyKIQRPsj8mB6wzOw	Jardín de Niños Guadalajara - Kinder Preescolar	preescolar	20.6556917	-103.3333489	C. Río Bravo 1318, Quinta Velarde, 44430 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
489	ChIJC30NEj2yKIQR6BaKREqpcSA	Jardín de Niños Naciones Unidas	preescolar	20.6529536	-103.3339431	C. Río Bravo 1430, Quinta Velarde, 44430 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
490	ChIJMzaNQf-xKIQRpaSdzoS6d4o	Jardín de niños Elisa Castillo	preescolar	20.6663781	-103.3542776	Calle Vidrio S/N, Mexicaltzingo, 44180 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
491	ChIJ1ZIXSuSxKIQRMFIAisGKy7I	Jardín de Niños 26 Silvia Ramírez Ramírez	preescolar	20.6814112	-103.3504091	C. Jesús González Ortega 319, Zona Centro, 44200 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
492	ChIJb1wvmv2xKIQRKYTwyomnmCA	Jean Piaget	preescolar	20.6730645	-103.3576954	Camarena 221, Col Americana, Americana, 44160 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
493	ChIJXbI_uuixKIQRmXp-kJNcnRg	JARDIN DE NIÑOS MIKIZTLI	preescolar	20.6841304	-103.3461647	C. Pino Suárez 484, Centro Barranquitas, 44280 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
494	ChIJ1eIR0eaxKIQRad51p8_jq9I	La Casota de Jean Piaget	preescolar	20.6852564	-103.3524328	Calle Hospital 768, Centro, 44298 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
495	ChIJSyC-F-mxKIQR3qyHfN2JPIY	GABRIELA MISTRAL PREESCOLAR GENERAL	preescolar	20.6851037	-103.3434768	Centro Barranquitas, 44200 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
496	ChIJadAPqdyxKIQRSBai5MSNHtA	Sector 04-E preescolar	preescolar	20.6946707	-103.3477306	Av. Fray Antonio Alcalde 1140, Miraflores, 44270 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
497	ChIJ1cOSDdyxKIQRJtYs98kpPDs	JARDIN DE NIÑOS ENGRACIA HERRERA	preescolar	20.6939041	-103.3518502	C. Mariano Bárcena 1139, Miraflores, 44260 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
498	ChIJrwAy69CxKIQRA1JfJ3aDAqA	Jardín de Niños No 497 Leonardo Oliva	preescolar	20.7019096	-103.3513398	C. Andrés Quintana Roo 1675, La Guadalupana, 44260 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
499	ChIJv-ErANSxKIQRKZlSJXHV6KY	Jardín De Niños No 97 Francisco Rodríguez Gómez	preescolar	20.7062057	-103.3530672	Entre Calle Diego Aranda y Carpintero y Circ. Divisiòn del Norte, J. Jesús Ortiz 1970, La Guadalupana, 44220 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
500	ChIJUZUX9c-xKIQReH-X0ab8x0I	Colegio Heinrich P. (Preescolar y Maternal)	preescolar	20.7016981	-103.3456081	C. José Juan Tablada 1860, Jardines Alcalde, 44270 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
501	ChIJDft7BcKxKIQRZ3AKvJSKwgw	Jardín de Niños Agustín Rivera y San Román	preescolar	20.6900957	-103.342101	C. Agustin Rivera 921, El Retiro, 44280 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
502	ChIJ_w21ZM6xKIQR0ChrZiKKY1o	Winnetka Preescolar	preescolar	20.7060697	-103.3447365	C. Amado Aguirre 868, Jardines Alcalde, 44290 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
503	ChIJ6yM6ANSxKIQRr6cbHM8ysF4	Jardin De Niños 333	preescolar	20.706151	-103.3530751	J. Jesús Ortiz 1970, La Guadalupana, 44220 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
504	ChIJMwVdXcixKIQRGX95EWO2f9o	Jardín de Niños Gabriela Mistral	preescolar	20.702923	-103.3381571	Calle José María Rodríguez 2073, Jardines Alcalde, 44298 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
505	ChIJwRx5Gq6xKIQRr7fvDpXB35I	Preescolar en Guadalajara	preescolar	20.6969306	-103.3450787	Miraflores, 44270 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
506	ChIJO9vp9DGwKIQR_WhZr7IPTF4	Jardín de niños Diego Rivera	preescolar	20.7188047	-103.3460135	C. Colonias 511, Atemajac del Valle, 45190 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
507	ChIJiaqjUyKwKIQRd4khcdYk18Q	Jardin de Niños Niño Artillero	preescolar	20.7329057	-103.3505037	Voleibol 63, Auditorio, 45190 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
508	ChIJO7k-VSKwKIQR3vQM8BGJcLU	Jardín de niños 121 Asunción García Sancho	preescolar	20.732747	-103.3501488	Voleibol 65, Auditorio, 45180 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
