name	category	category_code	lat	lon	address
R Evolution	Public Art	10047	20.666642	-103.424649	Santo Tomas de Aquino 5025, Zapopan, Jalisco
Centro Educativo Juan Sebastian Bach	Nursery School	12055	20.667052	-103.429209	Calle Millet 545, 45030 Zapopan, Jalisco
Instituto Alberici	Student Center	12047	20.667131	-103.425054	45020 Zapopan, Jalisco
Escuela Superior de Música Aurea Corona	College Arts Building	12016	20.666966	-103.424051	Mazamitla 3003, Guadalajara, Jalisco
Centro de Estudios de Cultura Oriental Daxue	Education	12009	20.667046	-103.424025	Avenida Patria 539 (Santo Tomás de Aquino), 45038 Zapopan, Jalisco
Sala de Prensa Univa	College Auditorium	12017	20.659926	-103.42052	Zapopan, Jalisco
Taller de Branding :: UNIVA	College and University	12013	20.65937	-103.420572	Avenida Tepeyac 4800 (Av. Patria), 45050 Zapopan, Jalisco
UNIVA Salon de Danza Clasica	College Classroom	12022	20.659022	-103.42061	Zapopan, Jalisco
"Estancia Infantil ""San Juan Macias S.C."""	Nursery School	12055	20.667765	-103.424667	Zapopan, Jalisco
Laboratorio Biología. Prepa UNIVA	College Lab	12030	20.66188	-103.420002	Zapopan, Jalisco
Cocina SUM	College Lab	12030	20.659458	-103.420372	Zapopan, Jalisco
Taller de Ilustración Digital :: UNIVA	College and University	12013	20.659289	-103.420444	Avenida Tepeyac 4800 (Av. Patria), 45050 Zapopan, Jalisco
Barra Mexico Colegio de Abogados	College and University	12013	20.663989	-103.420506	Manuel J Clouthier 777C, 45030 Guadalajara, Jalisco
Cruz Chavez Tomas	Education	12009	20.660334	-103.42852	Avenida Conchita 4000 9, Jalisco
Secundaria	Student Center	12047	20.671019	-103.427632	Velazquez, Zapopan, Jalisco
Escuela de Musica Elevare-escuelas de Música	Arts and Entertainment	10000	20.67019	-103.42606	Avenida Miguel Angel 294, Zapopan, Jalisco
Escuela de Música Inlevare	Music School	12054	20.670192	-103.426028	Avenida Miguel Ángel 294 (Avenida Tepeyac), 45030 Guadalajara, Jalisco
Secundaria Mixta # 4	Student Center	12047	20.671309	-103.428138	Calle Hector Berlioz 5223, Zapopan, Jalisco
Estancia Infantil Quetzal Ac	College Academic Building	12014	20.668901	-103.426549	Bethoveen 5105, 45030 Zapopan, Jalisco
Centro aplaÜde	Education	12009	20.669143	-103.428224	Zapopan, Jalisco
Jardín de Niños No. 105	Preschool	12056	20.670907	-103.429215	Zapopan, Jalisco
Escuela Primaria Ignacio Ramos P	College and University	12013	20.671423	-103.429099	Millet 500, 45030 Guadalajara, Jalisco
Gray Mount	Elementary School	12058	20.670836	-103.424945	Zapopan, Jalisco
Kinder Grey Mount	Nursery School	12055	20.670945	-103.424605	Zapopan, Jalisco
Happy Face	Education	12009	20.672528	-103.42549	Miguel Angel 213, Guadalajara, Jalisco
Universidad del Valle de Mexico Salon C14	College Administrative Building	12015	20.673367	-103.426857	Zapopan, Jalisco
Nari Ludoteca-Estancia infantil	Daycare	11026	20.673588	-103.426876	Zapopan, Jalisco
Alejandro Gonzalez	Entertainment Service	11036	20.673158	-103.428473	Zapopan, Jalisco
Guadalajara English Speakers Club	Education	12009	20.671158	-103.423747	Avenida Patria 266A (Hector Berlioz), 45030 Zapopan, Jalisco
Danatal, la Estancia	Student Center	12047	20.673511	-103.424793	Miguel Ángel 189 (Casi esquina Av. Sebastián Bach), Zapopan, Jalisco
Kalahari Hoh	Fraternity House	12043	20.673906	-103.424499	Miguel Angel, 45020 Zapopan, Jalisco
PriceTalk	Language School	12053	20.668858	-103.422614	L. Van Beethoven 4914, 45038 Zapopan, Jalisco
Guardería IMSS U1065	Nursery School	12055	20.673062	-103.422863	Juan Manuel Bach, Guadalajara, Jalisco
Worldnexion	Student Center	12047	20.672935	-103.422706	Zapopan, Jalisco
Casilla 3014	Student Center	12047	20.671876	-103.422166	Zapopan, Jalisco
Lecto la Estancia	Student Center	12047	20.674517	-103.430328	Avenida Rafael Sanzio, 45030 Guadalajara, Jalisco
Professional Academy	Student Center	12047	20.675292	-103.425256	Avenida Miguel Angel 118 4 (Rembrandt), 45020 Zapopan, Jalisco
Kid's	Event Space	11039	20.674567	-103.423863	03300 Zapopan, Jalisco
Proacademy	Student Center	12047	20.675317	-103.425265	Zapopan, Jalisco
Pms de Mexico	Office	11124	20.668487	-103.421939	Zapopan, Jalisco
Kinder HoneyOak	Preschool	12056	20.674963	-103.423564	Rembrandt 5084 (Goya), 45020 Zapopan, Jalisco
Taller Recreativo Mundo Infantil A.c	Preschool	12056	20.674923	-103.423503	Rembrandt 5084, 45020 Zapopan, Jalisco
Casilla 3105	Student Center	12047	20.67044	-103.420573	Zapopan, Jalisco
Jardin de Niños Margarita Lopez Barba	Preschool	12056	20.670696	-103.420683	Zapopan, Jalisco
margarita López barba	Nursery School	12055	20.670688	-103.420472	Zapopan, Jalisco
Re-educar	College Classroom	12022	20.681031	-103.427045	Avenida Moctezuma 4546 (Palenque), 45020 Guadalajara, Jalisco
CCPG	College and University	12013	20.680864	-103.42758	Oscar Wilde 5561, 45020 Zapopan, Jalisco
Curso de Primeros Auxilios	Student Center	12047	20.681151	-103.427227	Zapopan, Jalisco
New Life School	Student Center	12047	20.678922	-103.425589	Avenida San Juan 317, Zapopan, Jalisco
NUK Athletics	College Gym	12027	20.68003	-103.425524	Charles Dickens 35A, Zapopan, Jalisco
Canev Centro de Aprendizaje y Desarrollo	Nursery School	12055	20.678697	-103.42935	Zapopan, Jalisco
Latino Australia Education	Student Center	12047	20.682141	-103.42862	Oscar Wild 5498 (juan palomar y arias), 45027 Guadalajara, Jalisco
Colegio de Contadores Públicos de Guadalajara Jalisco, A.C	Convention Center	11029	20.681825	-103.42904	Oscar Wilde 5561, 45020 Guadalajara, Jalisco
Escuela de karate Gojukan la Estancia	Education	12009	20.677706	-103.42455	Avenida Miguel Angel 68 (Rubens Y Van Gogh), 45020 Zapopan, Jalisco
Muzeik Academia de Música Moderna	Music School	12054	20.68239	-103.42866	Avenida Juan Palomar y Arias 123 (Oscar Wilde & Joaquín Fernández de lizardi), 45027 Zapopan, Jalisco
Centro de Capacitación MVS, Guadalajara	Education	12009	20.68154	-103.424393	Avenida Juan Palomar y Arias 123, 45027 Zapopan, Jalisco
Centro Capacitacion MVS	Student Center	12047	20.681376	-103.424418	Zapopan, Jalisco
CCPGJ	Education	12009	20.682548	-103.429145	Guadalajara, Jalisco
Salon D18	College Classroom	12022	20.683122	-103.428304	Zapopan, Jalisco
Montessori Guadalajara	College Classroom	12022	20.681015	-103.422207	Zapopan, Jalisco
Golden english	Education	12009	20.675959	-103.42204	Zapopan, Jalisco
Guarida Chiapaneca	Sorority House	12046	20.684358	-103.430862	Novelistas (Entre Marly,Tefy YEl Baño), Zapopan, Jalisco
Colegio Albert Eistein	College and University	12013	20.685227	-103.423927	Cll Enrique Gomez Carrillo 5159, 45110 Guadalajara, Jalisco
El Pequeño Mundo Infantil	Education	12009	20.685384	-103.423308	Enrique Gómez Carrillo 5159, 45110 Guadalajara, Jalisco
Fundacion Univ de Guadalajara Ac	College and University	12013	20.682646	-103.427322	Avenida Hgo 919, Jalisco
Instituto Nal de Estadistica y Geografica	College and University	12013	20.681274	-103.432365	Avenida Vallarta 5145, Jalisco
Esc Decoracion Veracruz	College and University	12013	20.685489	-103.428417	Avenida Vallarta 4449, 44509 Guadalajara, Jalisco
Arthur G Anderson	College and University	12013	20.688132	-103.42647	Avenida Naciones Unidas 5346, 45120 Zapopan, Jalisco
Kindergym Guadalajara Naciones Unidas	College and University	12013	20.687846	-103.426823	Naciones Unidas 5456, 45110 Zapopan, Jalisco
Cash Flow	Education	12009	20.688147	-103.427506	Avenida del Colli 6063 (Nicolás Copérnico), Zapopan, Jalisco
Maria Antonia Estudio	Education	12009	20.687755	-103.426572	Zapopan, Jalisco
FasTracKids Naciones Unidas	Education	12009	20.687544	-103.42614	Naciones Unidas 5419 (Av. Juan Palomar y Arias), 45110 Zapopan, Jalisco
Immaginare	Education	12009	20.687613	-103.423994	Naciones Unidas 5188, 45020 Zapopan, Jalisco
Mapapi	Student Center	12047	20.689135	-103.428444	Zapopan, Jalisco
Anderson School	Preschool	12056	20.687799	-103.425401	Naciones Unidas 5346 (Victor Hugo), 45110 Zapopan, Jalisco
Lopez Aranda Ramirez Elena Georgina	Primary and Secondary School	12057	20.687584	-103.424062	Avenida Naciones Unidas 5188, 45110 Guadalajara, Jalisco
Action Coach	Student Center	12047	20.690813	-103.42413	Eqa Do Queiros, 45047 Zapopan, Jalisco
Centro de Estimulaacion Temprana Naciones Unidas0 Ac	Daycare	11026	20.687787	-103.420996	Avenida Naciones Unidas 5122, 45110 Zapopan, Jalisco
Edificio de Psicología Clínica	College and University	12013	20.690497	-103.422412	Zapopan, Jalisco
Cidi	College Lab	12030	20.692075	-103.421996	Av. Patria 1201, Zapopan, Jalisco
Lab. CIDI	College Lab	12030	20.692035	-103.421935	Zapopan, Jalisco
Colegio Crísol School en déficit de atención y educación especial	Education	12009	20.686962	-103.420903	León tolstoi 5046, 44500 Guadalajara, Jalisco
Frida Kahlo Instituto	Nursery School	12055	20.690042	-103.420707	Zapopan, Jalisco
Aula 204 Edificio de Humanidades	College Academic Building	12014	20.693614	-103.422802	Zapopan, Jalisco
Rissyokai Karatedo Gojuryu	Education	12009	20.688032	-103.420129	Avenida Naciones Unidas 5020, 45110 Zapopan, Jalisco
Tvu	College Communications Building	12023	20.694287	-103.423332	Zapopan, Jalisco
TDI Departamento de Sistemas	College Communications Building	12023	20.692996	-103.42155	Av. Patria 1201, 45129 Zapopan, Jalisco
Aula Magna	College Auditorium	12017	20.694049	-103.421282	Av. Patria 1201, 45050 Zapopan, Jalisco
Aula 105	College Classroom	12022	20.695914	-103.42693	Zapopan, Jalisco
Campo Hipico	College Lab	12030	20.700804	-103.427158	Zapopan, Jalisco
Lab. Hidraulica	College Lab	12030	20.695267	-103.422457	Zapopan, Jalisco
Talleres de enseñanza	College Engineering Building	12025	20.693998	-103.423231	Avenida Patria 1201, 45050 Zapopan, Jalisco
Centro de Inteligencia para el Apoyo a Emprendedores	College Academic Building	12014	20.695652	-103.42203	Avenida Patria 1201, 45129 Zapopan, Jalisco
Cafeteria de Diseño UAG	College Cafeteria	12021	20.694264	-103.422621	Zapopan, Jalisco
Aula 2 CCQQ	College Classroom	12022	20.694529	-103.422124	Edificio ciencias químicas, Zapopan, Jalisco
Aula 210 Edificio Diseño	College Classroom	12022	20.694093	-103.422249	Zapopan, Jalisco
Edificio de Arquitectura y Diseño	College Academic Building	12014	20.694163	-103.422243	Av. Patria 1201, 45129 Zapopan, Jalisco
Laboratorio de Alimentos	College Lab	12030	20.694536	-103.42175	Zapopan, Jalisco
Edificio Enfermeria y nutrición	College Science Building	12036	20.695596	-103.420837	Zapopan, Jalisco
Edificio de Nutrición	College Science Building	12036	20.694985	-103.421035	Zapopan, Jalisco
Laboratorio de Hidraulica	College Lab	12030	20.695344	-103.420731	Zapopan, Jalisco
